Pond,Link,centriod,polygon
33,"https://www.google.com/maps?q=14.296462047778796,80.1362463702418","(14.296462047778796, 80.1362463702418)","POLYGON ((80.13591976624261 14.296439765323996, 80.13601140651899 14.296710840582387, 80.13601143518505 14.296710840685469, 80.1360114351798 14.296710842059785, 80.13601144222484 14.296710840710784, 80.13619638064465 14.296711505739273, 80.1362759760742 14.296660187120876, 80.13647483636176 14.296622108865567, 80.13656838456795 14.296448608006319, 80.13647609786106 14.296261110660657, 80.13647606919506 14.296261110557188, 80.1364760692003 14.296261109183318, 80.13647606207608 14.29626110915766, 80.13647606261583 14.296260967742382, 80.13629146922325 14.296170038330578, 80.13610538939801 14.296305067518968, 80.13601281532482 14.296349808054618, 80.1360127293188 14.296372306486308, 80.13591976624261 14.296439765323996))"
34,"https://www.google.com/maps?q=14.308407234552666,80.13797329154194","(14.308407234552666, 80.13797329154194)","POLYGON ((80.1376360951731 14.308289525382035, 80.13763609463876 14.308289664481263, 80.13763608750901 14.308289666771174, 80.13763505517888 14.308560265271185, 80.13819050606978 14.308652681175527, 80.138283413048 14.308562757710815, 80.13828341358709 14.308562616295799, 80.13828342071169 14.308562616321634, 80.13828479690486 14.30820161040764, 80.13796239775273 14.308200448434427, 80.13772900220131 14.308199602135307, 80.1376360951731 14.308289525382035))"
35,"https://www.google.com/maps?q=14.316451102496051,80.14158255996723","(14.316451102496051, 80.14158255996723)","POLYGON ((80.14149974614597 14.316259618993337, 80.14131308255683 14.316619948473724, 80.14168346169336 14.316621279739518, 80.14177637082497 14.316531355074192, 80.14177740645663 14.316260615070586, 80.14149974614597 14.316259618993337))"
36,"https://www.google.com/maps?q=14.316303110345581,80.14273145115777","(14.316303110345581, 80.14273145115777)","POLYGON ((80.14298239349412 14.316355212293297, 80.1427987081576 14.315902668406707, 80.142613882729 14.315902000212889, 80.14252014388641 14.316172727318179, 80.14251842180731 14.31662430135525, 80.1426173052623 14.316624656330172, 80.14261764762708 14.316624971201076, 80.14288880106831 14.316625630742719, 80.14298170974959 14.316535705579398, 80.14298239349412 14.316355212293297))"
37,"https://www.google.com/maps?q=14.392594949409155,80.09986294143916","(14.392594949409155, 80.09986294143916)","POLYGON ((80.09956546556664 14.392227331415496, 80.0995617858361 14.392686513622854, 80.09946981947121 14.392949883731175, 80.09956205427319 14.39304049378161, 80.09974722200121 14.393041197904068, 80.09997941654319 14.392951675649538, 80.10002583058825 14.392951851323014, 80.10009569333471 14.392906845193298, 80.10021152393082 14.392862186691106, 80.10020761085379 14.39283474696553, 80.10030462854738 14.392772247250315, 80.10012133388986 14.39222956469471, 80.0999363389385 14.392138485500618, 80.09993034021765 14.392138462637124, 80.09992966478562 14.392138140432028, 80.09965842352199 14.392137426567077, 80.09956546556664 14.392227331415496))"
38,"https://www.google.com/maps?q=14.394585001256766,80.10089660297723","(14.394585001256766, 80.10089660297723)","POLYGON ((80.10057700443024 14.394401437076324, 80.1005755589602 14.39476209436254, 80.10057704314828 14.394762100008723, 80.10057704327842 14.394763312825834, 80.10066780149519 14.394852845476716, 80.10103179314478 14.394854548491935, 80.10122416454645 14.394764588869233, 80.10122524128971 14.394493806429859, 80.1011332514803 14.394312804317211, 80.10113322278345 14.39431280887216, 80.1011332228076 14.39431280283491, 80.10076270029677 14.394311401796498, 80.10057700591425 14.394401066793664, 80.10057700580313 14.394401094518123, 80.10057700439346 14.39440109474187, 80.10057700443024 14.394401437076324))"
39,"https://www.google.com/maps?q=14.402836305295201,80.09887437147164","(14.402836305295201, 80.09887437147164)","POLYGON ((80.09905770363848 14.403073761677508, 80.09915066654104 14.402983857383136, 80.09915138983331 14.402803367542056, 80.09896712523039 14.402531611333423, 80.09859624764088 14.402620569083338, 80.09859624752968 14.402620597036899, 80.09859624611973 14.402620597031492, 80.09859553008606 14.402800945462515, 80.09868751639733 14.402981985259384, 80.09868754031099 14.402982079946288, 80.09868758861876 14.402982127399442, 80.09877954787493 14.403163113639977, 80.09905755700555 14.403073796019658, 80.09905755714507 14.403073761118979, 80.09905770363848 14.403073761677508))"
40,"https://www.google.com/maps?q=14.410108486458782,80.09913428035041","(14.410108486458782, 80.09913428035041)","POLYGON ((80.09856720651612 14.409852907773397, 80.09856720650386 14.409852907785261, 80.09856611171448 14.410123642507818, 80.09856628792373 14.410123636593163, 80.09856544665911 14.410305067156132, 80.09856538280438 14.41030507729054, 80.0985654131016 14.410312304261097, 80.0985650295586 14.410395019926884, 80.09856576904463 14.41039720961254, 80.09856614329962 14.410486483469054, 80.09861079232353 14.410530527575904, 80.09865668853391 14.4106664302105, 80.09921309324582 14.410578138935113, 80.09938916390625 14.410426943237352, 80.09967759888058 14.410399095966929, 80.09967759896259 14.41039909596724, 80.0996775989766 14.41039909595766, 80.09977056483605 14.410309191659367, 80.09977056484598 14.410309191645792, 80.0997705648363 14.410309191597618, 80.09977165073057 14.410038296290127, 80.09958798911366 14.40958572297345, 80.09950243369715 14.409595822387613, 80.09949534986883 14.409585375380944, 80.0994424694916 14.40960290086064, 80.09884602741333 14.4096733069902, 80.09870795791721 14.409762243695166, 80.09866017255584 14.409763003919135, 80.09856720651612 14.409852907773397))"
41,"https://www.google.com/maps?q=14.391955947371297,80.10292283814107","(14.391955947371297, 80.10292283814107)","POLYGON ((80.10253594210941 14.39160583717589, 80.1024998557586 14.391761158431756, 80.10234936542575 14.391876286902953, 80.10234864438574 14.392056757895423, 80.10241191979082 14.392139647432911, 80.10234719299963 14.392418239857694, 80.10269477681841 14.392453468693528, 80.10281041034978 14.392510397205884, 80.10300199756271 14.392511126748632, 80.10300258185579 14.392511445935558, 80.10317870185136 14.392511799481264, 80.10327370739446 14.392512161123213, 80.10327371573634 14.39251214502584, 80.10327382383001 14.392512155981159, 80.10336678049113 14.39242224962068, 80.10336627538373 14.392333531858384, 80.10336714026016 14.39233186289711, 80.1033702110245 14.391947948268113, 80.10346205339091 14.391789779267635, 80.10346314043822 14.39151903012845, 80.10346314187893 14.391519024612016, 80.103463140462 14.391519024211298, 80.10346314057249 14.391518996688047, 80.10346314058162 14.39151899665308, 80.10346314052661 14.391518996637528, 80.1030002870588 14.391336462777053, 80.1028151206701 14.39133575940345, 80.10281512063555 14.391335759393685, 80.10281512062919 14.391335759403297, 80.10281512062156 14.391335759403269, 80.10253594210941 14.39160583717589))"
42,"https://www.google.com/maps?q=14.392784702895396,80.10128450455214","(14.392784702895396, 80.10128450455214)","POLYGON ((80.10123364732583 14.392414637408645, 80.10104856504576 14.392413936990787, 80.10103527494122 14.392426790739743, 80.10095593288973 14.392413579242849, 80.10086249810891 14.392593876400593, 80.10095414596384 14.39286511345693, 80.10120992814015 14.393025594626769, 80.10121054052865 14.393026196035445, 80.10132367500567 14.393228015606624, 80.10160131075237 14.39322907202469, 80.1016016712667 14.393138666194005, 80.10160167228565 14.393138666197888, 80.10160383893916 14.392596854764417, 80.10160383181717 14.392596853829518, 80.10160383237745 14.39259671332474, 80.1015115968744 14.39250610403023, 80.10128102246487 14.392467710762984, 80.10123364732583 14.392414637408645))"
43,"https://www.google.com/maps?q=14.393211859989705,80.10314504668963","(14.393211859989705, 80.10314504668963)","POLYGON ((80.1025297985521 14.39314281434652, 80.10252872500462 14.393413568878836, 80.10262071564485 14.393594570575576, 80.1026207423296 14.393594564206351, 80.10262074431475 14.393594572066442, 80.10345499177443 14.393597729861142, 80.10354810166423 14.393507675653472, 80.10354810166919 14.393507675648676, 80.10354810167414 14.393507675643884, 80.10354810167823 14.393507675643887, 80.10364105867242 14.393417769200536, 80.10364105867242 14.39341776919656, 80.10364105868236 14.393417769186964, 80.10364105867271 14.393417769129151, 80.10364322158021 14.392875674623392, 80.10355098512207 14.392785066095618, 80.10308795161687 14.39269290297043, 80.10304248887107 14.392783130799637, 80.10299498703047 14.392782950605481, 80.10292800064904 14.393010349942957, 80.10289891110472 14.393068082442595, 80.10277424445697 14.393101952573003, 80.1025297985521 14.39314281434652))"
44,"https://www.google.com/maps?q=14.405266435601623,80.10216426546295","(14.405266435601623, 80.10216426546295)","POLYGON ((80.10164876802284 14.404711557047538, 80.10164877241806 14.404711583372183, 80.10164876650204 14.40471158499573, 80.10166387226438 14.404802056491517, 80.10173754951315 14.40570591865581, 80.10182427500905 14.405762737531257, 80.10182994182992 14.405796677020465, 80.10210730960964 14.405978396223496, 80.10257060566477 14.405980164391579, 80.102664435462 14.405709459981772, 80.10266582049147 14.40544505314964, 80.10266549562205 14.40544427816133, 80.10266624138846 14.405257733560523, 80.10249577158511 14.404957892520573, 80.10248327199842 14.404624398772402, 80.10248327140307 14.404624349246728, 80.102483270142 14.404624349241955, 80.10248326484093 14.404624207807164, 80.10239102431743 14.404533598639683, 80.10211977045137 14.404532249294839, 80.10196327320433 14.404616180877012, 80.10164912831704 14.404621179255411, 80.10165620271457 14.404707967262892, 80.10164876802284 14.404711557047538))"
45,"https://www.google.com/maps?q=14.411396492185512,80.10320408188454","(14.411396492185512, 80.10320408188454)","POLYGON ((80.10310700794243 14.411136038509696, 80.10296749285365 14.411225909360672, 80.10282854213763 14.41122538008721, 80.10282709856476 14.4115863794186, 80.10282673704192 14.411676785135011, 80.103197883094 14.411587782385823, 80.10338316291005 14.411588483225847, 80.10366162899332 14.411499141010314, 80.10366234756603 14.41131892511509, 80.10347736193677 14.411227851730658, 80.10347734323405 14.411227851659632, 80.10347734227157 14.411227850714212, 80.10343101049159 14.41122767434216, 80.1032922104403 14.41113674173595, 80.10310700794243 14.411136038509696))"
46,"https://www.google.com/maps?q=14.412381140050217,80.1019304015031","(14.412381140050217, 80.1019304015031)","POLYGON ((80.10133994952744 14.412304612363126, 80.10124698335947 14.412394517275942, 80.10124625379926 14.412574846461412, 80.10133274374355 14.412569153175866, 80.1013388656507 14.4125751919476, 80.10151737225684 14.412576189872642, 80.1015641068772 14.41255392331252, 80.10254471784117 14.412489370413798, 80.10263768356177 14.412399464962903, 80.10263841199448 14.412219135705664, 80.10254565519183 14.412218783956574, 80.10254565519475 14.412218783239062, 80.1016185623018 14.412215266265797, 80.10133994952744 14.412304612363126))"
47,"https://www.google.com/maps?q=14.417701620639866,80.10214030884225","(14.417701620639866, 80.10214030884225)","POLYGON ((80.10233735035719 14.417913012387407, 80.10233879537941 14.417552013297698, 80.10233915725267 14.417461607638316, 80.10196825405626 14.417550611060662, 80.10187528582215 14.417640516070113, 80.10187492512175 14.41773058100047, 80.10205956763241 14.417911949049449, 80.10223745872653 14.417912630045025, 80.1022380785215 14.417912946675365, 80.10223842416423 14.417912633740508, 80.10233735035719 14.417913012387407))"
48,"https://www.google.com/maps?q=14.379635450602164,80.10584186863105","(14.379635450602164, 80.10584186863105)","POLYGON ((80.10583087561314 14.379323004977683, 80.1056810740752 14.379406645853704, 80.10545956248464 14.37941200820398, 80.10536661228493 14.379501915867595, 80.10545755228713 14.379953814415346, 80.10601351906428 14.379955908379085, 80.1062926783487 14.379685825109798, 80.10629411724437 14.379324746895582, 80.10583087561314 14.379323004977683))"
49,"https://www.google.com/maps?q=14.394586886050535,80.10804310873543","(14.394586886050535, 80.10804310873543)","POLYGON ((80.10827170380628 14.395152876311402, 80.10827385468893 14.3946110639788, 80.10827385112782 14.394611063965458, 80.10827457017662 14.394429628453574, 80.10827457493023 14.394429628471592, 80.10827600795714 14.394068628078003, 80.10827600083083 14.394068628051127, 80.10827600139125 14.394068486638279, 80.10809801971556 14.393977237619348, 80.10781290046572 14.394066881021635, 80.10780859408025 14.395151129117938, 80.10790134396234 14.395151479111949, 80.10827170380628 14.395152876311402))"
50,"https://www.google.com/maps?q=14.4044511885618,80.10713343381933","(14.4044511885618, 80.10713343381933)","POLYGON ((80.1065409063958 14.404351539868966, 80.10656544429335 14.40454895005871, 80.10670366642272 14.404775450260374, 80.10674951182105 14.404911255724594, 80.10684887542436 14.405013399076179, 80.10701584781438 14.405287010082983, 80.10702597518062 14.405364336891399, 80.10711821800648 14.405454944370689, 80.10711833098101 14.405454944797635, 80.10711833439042 14.405454950384488, 80.10711835726029 14.405454944896947, 80.10730337668302 14.40545564403337, 80.10736538634654 14.405395671015057, 80.10748923262699 14.405365954364148, 80.10776843199906 14.405095920090986, 80.10776843256626 14.405095777305025, 80.10776846837388 14.405095777440243, 80.10786226170536 14.40482537420353, 80.10758617434573 14.404281921357818, 80.10758617327268 14.404281918713354, 80.10758617226256 14.404281917257261, 80.10749413852506 14.404100756600714, 80.1074578606792 14.404059416416287, 80.1073338994599 14.40382734150032, 80.10731041319387 14.403648014903737, 80.10718402360621 14.403461729977439, 80.1071263513216 14.40328583190964, 80.10684837322935 14.403375160675147, 80.10684715604543 14.403682520776018, 80.10647555950156 14.403825815335427, 80.10647413002093 14.404186975867542, 80.1065409063958 14.404351539868966))"
51,"https://www.google.com/maps?q=16.155347655649667,81.09110603619307","(16.155347655649667, 81.09110603619307)","POLYGON ((81.09031105092201 16.155109998757307, 81.09021759730452 16.155290809575376, 81.09021767089412 16.155471152033048, 81.09037450647287 16.155501701820754, 81.09068527643662 16.155651751055878, 81.09090973760529 16.155663687287195, 81.0910156511813 16.155697759586875, 81.09134012503081 16.155832276742416, 81.09152740629831 16.155862389826638, 81.09171431880459 16.15592251869976, 81.09190091594871 16.15592244618157, 81.09199432056282 16.155651358322643, 81.09199425844169 16.155515915051488, 81.09199423810911 16.155470874472297, 81.09199423778378 16.155470874158144, 81.09199419632114 16.155380471778614, 81.09190075849246 16.155290242328203, 81.09171364165185 16.155199920594026, 81.09171364128743 16.155199920242133, 81.0907780894714 16.154748323666446, 81.09049792697991 16.154748436330525, 81.0903110110475 16.15501958101738, 81.09031105092201 16.155109998757307))"
52,"https://www.google.com/maps?q=16.152366542197093,81.09704453759805","(16.152366542197093, 81.09704453759805)","POLYGON ((81.09685718698621 16.152033557499458, 81.09685718698692 16.152033558873548, 81.09685715806538 16.152033558885833, 81.09681041357248 16.152169117217568, 81.0967637457667 16.15221426399994, 81.09678072903904 16.152255201820374, 81.09676378954651 16.15230432600293, 81.09683350373967 16.152382414007242, 81.0969405466595 16.152640437924404, 81.09695107515725 16.152756113095972, 81.0970441128959 16.152756063799014, 81.097137584407 16.152665618488086, 81.0971376053466 16.152665618477762, 81.09732443656844 16.152484876136025, 81.09732443653876 16.152484815443835, 81.09732443978162 16.15248481230595, 81.09732434833414 16.152304411430293, 81.09704376062214 16.15203347956419, 81.09685718698621 16.152033557499458))"
53,"https://www.google.com/maps?q=16.1525738220328,81.10488023484199","(16.1525738220328, 81.10488023484199)","POLYGON ((81.10556324405833 16.153204346019535, 81.10574325254156 16.153203938059942, 81.10593007640522 16.15302318822406, 81.10592998036569 16.152842723575784, 81.10583653745431 16.15275250024372, 81.10566054447028 16.152672938594513, 81.1056494282289 16.152662205806205, 81.10563188802229 16.152659983772608, 81.10515372199798 16.152443816743418, 81.10424595462862 16.151849272620364, 81.10405938120648 16.151849356860293, 81.1040596785019 16.151939762070132, 81.10396589230041 16.15193980520524, 81.10396608908434 16.152300953015228, 81.10415316093496 16.15257191768294, 81.10527585364251 16.153113765850225, 81.10554744634706 16.153199366883975, 81.1055565117174 16.153204029705762, 81.10556223156496 16.153204026901093, 81.10556324405833 16.153204346019535))"
54,"https://www.google.com/maps?q=16.151138626140824,81.11181896619783","(16.151138626140824, 81.11181896619783)","POLYGON ((81.11163534973481 16.151031898505764, 81.11163695325497 16.15121329230467, 81.11172889100067 16.151302427119795, 81.11191546386313 16.15130233616835, 81.11191546386183 16.151302333848594, 81.11200899970272 16.151302287026834, 81.11200884602077 16.151031674575567, 81.11163529903966 16.150941495829862, 81.11163584924857 16.1510318982441, 81.11163534973481 16.151031898505764))"
55,"https://www.google.com/maps?q=16.15174809823924,81.10896309763834","(16.15174809823924, 81.10896309763834)","POLYGON ((81.10892299140795 16.152388797335536, 81.10898140544265 16.152320971971776, 81.10901640610278 16.152298398609734, 81.10905640763555 16.15223388577089, 81.10939030297189 16.151846193507676, 81.10976403867917 16.15112324530138, 81.10957708497607 16.151032974645325, 81.10948353020032 16.15103302253993, 81.10948352942057 16.151033021787104, 81.10910973904693 16.15103321348943, 81.10901182414378 16.151127947873423, 81.10892283184643 16.151214029337016, 81.10892279406873 16.15121408591306, 81.10873593114349 16.151394878455775, 81.10826861179689 16.15202792388999, 81.108268802464 16.152389080436144, 81.10846248917946 16.15247966844662, 81.10864904891085 16.152479411433394, 81.10864956198655 16.152479573146877, 81.10865005297784 16.152479410049704, 81.10882956979115 16.152479162584076, 81.10892299140795 16.152388797335536))"
56,"https://www.google.com/maps?q=16.181192552334355,81.10995916731066","(16.181192552334355, 81.10995916731066)","POLYGON ((81.10968765894565 16.18104642501647, 81.10968770917933 16.181136827128658, 81.10968770885427 16.181136827443115, 81.1096877091802 16.18113682869892, 81.1096878094695 16.181317310759404, 81.10978142216 16.18149790542485, 81.1099607077785 16.18149780927127, 81.1099613391687 16.181498125644065, 81.10996201537789 16.18149780856943, 81.11006160233198 16.181497755093563, 81.11024844866125 16.18131700181036, 81.11015465554864 16.180865520247924, 81.10996803511013 16.180865624675, 81.10982774168883 16.180956092860942, 81.10978115172107 16.18095611575043, 81.10978115174795 16.18095612269731, 81.10978100539452 16.18095612277283, 81.10968765894565 16.18104642501647))"
57,"https://www.google.com/maps?q=16.182048349074027,81.11015958405942","(16.182048349074027, 81.11015958405942)","POLYGON ((81.11002453133555 16.182021969588273, 81.11000994394176 16.182119605795886, 81.10987545857064 16.182311962357115, 81.10987522497645 16.182485939162483, 81.11006175548475 16.182492168396962, 81.1100620358297 16.182492187324186, 81.1100620422747 16.182492177974254, 81.11006215324628 16.18249218168013, 81.11024901643111 16.182311416986035, 81.11043589937216 16.181949740804907, 81.11043575733925 16.18167957491606, 81.11043575704394 16.181678996565836, 81.11043439428978 16.181678997307007, 81.11034220691214 16.181679046853183, 81.11034220691123 16.18167904510539, 81.11024842085745 16.18167909721758, 81.11006205539873 16.181679197175686, 81.1099687087649 16.18176949951457, 81.11002453133555 16.182021969588273))"
58,"https://www.google.com/maps?q=16.182612934940117,81.11351396724906","(16.182612934940117, 81.11351396724906)","POLYGON ((81.11333692748617 16.182490951344434, 81.11333702317049 16.182671274042583, 81.1133370267697 16.18267127404058, 81.11333712631998 16.18285207884498, 81.11352372876593 16.18285197240324, 81.11371057319016 16.182671216114176, 81.11371042542319 16.18240049101565, 81.11361687496257 16.182400543317033, 81.11361687496125 16.182400540997286, 81.11343041926737 16.182400640493118, 81.11343041927134 16.18240064743638, 81.11343027293992 16.18240064751803, 81.11333692748617 16.182490951344434))"
59,"https://www.google.com/maps?q=16.183685797294835,81.11356303616256","(16.183685797294835, 81.11356303616256)","POLYGON ((81.11296339052542 16.183666445394202, 81.11296342569091 16.18372663599617, 81.11286994540447 16.18384723600946, 81.11286999657685 16.183937297698666, 81.11315076793483 16.18429869503593, 81.11324430540697 16.184388962496268, 81.11343105563408 16.18438886299563, 81.11370919479066 16.18402915955195, 81.1138984797139 16.183936625448084, 81.11427239673449 16.18357493930708, 81.11427234492753 16.183484877619208, 81.11399158624887 16.183033164489057, 81.1139914717283 16.18303316455042, 81.11399146883977 16.183033158978294, 81.11371128654028 16.1830333144987, 81.11315030475804 16.183485540557925, 81.1130991891064 16.183551485687904, 81.11296339052542 16.183666445394202))"
60,"https://www.google.com/maps?q=16.188158771850727,81.11642739689296","(16.188158771850727, 81.11642739689296)","POLYGON ((81.11642752214827 16.188365086123998, 81.11661404519477 16.188455256328893, 81.11661393113242 16.18827491458801, 81.11642664988256 16.187913569645207, 81.11624016010445 16.187913670279965, 81.11624176835393 16.188095063387905, 81.11642752214827 16.188365086123998))"
61,"https://www.google.com/maps?q=16.1920629513337,81.12248814387651","(16.1920629513337, 81.12248814387651)","POLYGON ((81.12223030769097 16.192429804174626, 81.12251050316075 16.192429637343412, 81.1227908474574 16.192158417019687, 81.12279084738854 16.19215830635283, 81.12279085315527 16.192158303561776, 81.12279067993684 16.19188755084814, 81.12279067896174 16.19188754990702, 81.1227906789504 16.191887531678944, 81.12269704557151 16.19170691748973, 81.12241694565469 16.19161670076792, 81.12239265516061 16.191795801461755, 81.12213662306942 16.192159115353014, 81.12223030769097 16.192429804174626))"
62,"https://www.google.com/maps?q=16.1920629513337,81.12248814387651","(16.1920629513337, 81.12248814387651)","POLYGON ((81.12223030769097 16.192429804174626, 81.12251050316075 16.192429637343412, 81.1227908474574 16.192158417019687, 81.12279084738854 16.19215830635283, 81.12279085315527 16.192158303561776, 81.12279067993684 16.19188755084814, 81.12279067896174 16.19188754990702, 81.1227906789504 16.191887531678944, 81.12269704557151 16.19170691748973, 81.12241694565469 16.19161670076792, 81.12239265516061 16.191795801461755, 81.12213662306942 16.192159115353014, 81.12223030769097 16.192429804174626))"
63,"https://www.google.com/maps?q=16.192701513257482,81.12152041321168","(16.192701513257482, 81.12152041321168)","POLYGON ((81.12176218568369 16.192882227151525, 81.12176207500299 16.192701763277743, 81.1215748345557 16.192430806233297, 81.12129478540899 16.19243096480115, 81.12130776419276 16.19279642969128, 81.1214821468268 16.19297264443267, 81.12166883915152 16.19297253455347, 81.12176218568369 16.192882227151525))"
64,"https://www.google.com/maps?q=16.16602815120315,81.12235092726358","(16.16602815120315, 81.12235092726358)","POLYGON ((81.12268154281574 16.16611609182981, 81.12268111324074 16.165945109104367, 81.12268111155598 16.16594222856969, 81.12268110599699 16.16594222588617, 81.12268110571871 16.16594211511815, 81.12258766090868 16.165851914743104, 81.12202684842612 16.165761827367398, 81.1220269066194 16.165852229882518, 81.12202690389384 16.165852229884084, 81.12202690662447 16.165852237769997, 81.12202702270898 16.166032571968543, 81.12212063927672 16.16621316143967, 81.12258782174163 16.16630329553388, 81.12267554947307 16.166128063278737, 81.12268121704044 16.16612257943895, 81.1226812136305 16.166116749363475, 81.12268154281574 16.16611609182981))"
